judul,judul_slug,author,penerbit,isbn,bahasa,jumlah_halaman,isBestSeller,original_rating,adjusted_rating,rating_count,review_count,kategori
Game of Hearts: Love In Vegas,game-of-hearts-love-in-vegas,Silvarani,Gramedia Pustaka Utama,9786020366340,Indonesia,232,1,3.0,3,34,14.0,fiksi_sastra
Hantu di Rumah Kos,hantu-di-rumah-kos,Dini W.Tamam;Erby S,Gramedia Pustaka Utama,9786020621241,Indonesia,162,0,2.21,2,14,7.0,novel
My Nerd Girl,my-nerd-girl,Aidah Harisah,Gramedia Widiasarana Indonesia,9786020520193,Indonesia,448,0,3.39,3,28,3.0,novel
Harlequin Koleksi Istimewa: Dalam Dekapan Sang Pangeran (Protected by The Prince),harlequin-koleksi-istimewa-dalam-dekapan-sang-pangeran-protected-by-the-prince,Annie West,Gramedia Pustaka Utama,9786020616476,Indonesia,352,1,3.46,3,240,40.0,romance
Harlequin Koleksi Istimewa: Sang Perencana Pernikahan (The Best Man and The Wedding Planner),harlequin-koleksi-istimewa-sang-perencana-pernikahan-the-best-man-and-the-wedding-planner,Teresa Carpenter,Gramedia Pustaka Utama,9786020618050,Indonesia,272,0,3.7,4,33,10.0,novel
Konspirasi Alam Semesta,konspirasi-alam-semesta,Fiersa Besari,Mediakita,9789797945350,Indonesia,244,1,4.35,4,4189,242.0,novel_lokal
Harlequin: Tiga Keajaiban (Three Christmas Wishes),harlequin-tiga-keajaiban-three-christmas-wishes,Sheila Roberts,Gramedia Pustaka Utama,9786020619101,Indonesia,448,1,4.04,4,1420,194.0,romance
Harlequin: Terperangkap (Close Contact),harlequin-terperangkap-close-contact,Lori Foster,Gramedia Pustaka Utama,9786020619200,Indonesia,448,1,4.13,4,2433,382.0,romance
Historical Romance: To Seduce a Sinner (Rayuan yang Menawan),historical-romance-to-seduce-a-sinner-rayuan-yang-menawan,Elizabeth Hoyt,Gramedia Pustaka Utama,9786020303468,Indonesia,448,1,3.88,4,10737,769.0,romance
Historical Romance: She's No Princess (Pangeran Miss Valenti),historical-romance-shes-no-princess-pangeran-miss-valenti,Laura Lee Guhrke,Gramedia Pustaka Utama,9786020620725,Indonesia,456,1,3.82,4,2353,,
Kim Ji-Yeong Lahir Tahun 1982,kim-ji-yeong-lahir-tahun-1982,Cho Nam-Joo,Gramedia Pustaka Utama,9786020636191,Indonesia,192,1,4.18,4,93090,,
Sekali Peristiwa Di Banten Selatan,sekali-peristiwa-di-banten-selatan,Pramoedya Ananta Toer,Lentera Dipantara,9789793820040,Indonesia,128,1,3.72,4,779,,fiksi_sastra
Sumur,sumur,Eka Kurniawan,Gramedia Pustaka Utama,9786020653242,Indonesia,60,1,3.88,4,526,169.0,
Larasati,larasati,Pramoedya Ananta Toer,Lentera Dipantara,9789799731296,Indonesia,183,1,3.7,4,1684,,fiksi_sastra
Di Balik Tirai Aroma Karsa,di-balik-tirai-aroma-karsa,Dewi Lestari,Bentang Pustaka,9786022915188,Indonesia,304,1,4.4,4,111,28.0,novel
Sepotong Senja untuk Pacarku,sepotong-senja-untuk-pacarku-cover-baru,Seno Gumira Ajidarma,Gramedia Pustaka Utama,9786020319032,Indonesia,220,0,3.98,4,2253,,cerpen
Pria Bernama Ove (A Man Called Ove),pria-bernama-ove-a-man-called-ove,Fredrik Backman,Gramedia Pustaka Utama,9786020657899,Indonesia,384,1,4.37,4,807776,,sastra_indonesia
Pachinko,pachinko,Min Jin Lee,Gramedia Pustaka Utama,9786020616452,Indonesia,576,1,4.32,4,360165,,
Liqomik,liqomik,Iqomic,Salsabila,9786021695432,Indonesia,185,0,4.37,4,19,3.0,novel_grafis
Pembunuhan di Malam Natal (Hercule Poirot's Christmas),pembunuhan-di-malam-natal-hercule-poirots-christmas,Agatha Christie,Gramedia Pustaka Utama,9789792292077,Indonesia,304,0,3.98,4,62374,,novel
Kepada Cium,kepada-cium,Joko Pinurbo,Gramedia Pustaka Utama,9786020658865,Indonesia,56,1,3.64,4,217,,puisi
Ikhlas Paling Serius,ikhlas-paling-serius,Fajar Sulaiman,Media Kita,9789797946265,Indonesia,172,1,4.28,4,513,,
Hanum & Rangga: Faith & the City,hanum-rangga-faith-the-city-pakai-jaket,Hanum Salsabiela Rais;Rangga Almahendra,Gramedia Pustaka Utama,9786020618630,Indonesia,240,0,4.1,4,408,,
Lelaki Harimau,conf-lelaki-harimau-cover-baru,Eka Kurniawan,Gramedia Pustaka Utama,9786020324654,Indonesia,198,0,4.05,4,5682,,fiksi_sastra
And Then There Were None (Lalu Semuanya Lenyap),and-then-there-were-none-lalu-semuanya-lenyap-cover-baru,Agatha Christie,Gramedia Pustaka Utama,9789792235241,Indonesia,280,0,4.28,4,1135701,,novel
LAIQA: After Wedding Agreement,laiqa-after-wedding-agreement,Mia Chuz,Elex Media Komputindo,9786230021640,Indonesia,200,1,3.77,4,35,,
Funiculi Funicula (Kōhī Ga Samenai Uchi Ni---Before the Coffee Gets Cold),funiculi-funicula-kohi-ga-samenai-uchi-ni-before-the-coffee-gets-cold,Toshikazu Kawaguchi,Gramedia Pustaka Utama,9786020651927,Indonesia,224,1,3.75,4,155282,,
Kisah - Kisah Kecil & Ganjil; Malam 1001 Pandemi,kisah-kisah-kecil-ganjil-malam-1001-pandemi,Agus Noor,Diva Press,9786023919932,Indonesia,272,1,4.2,4,15,7.0,novel
Lebih Senyap dari Bisikan,lebih-senyap-dari-bisikan,Andina Dwifatma,Gramedia Pustaka Utama,9786020654201,Indonesia,164,1,4.34,4,732,251.0,
Metropop: Resign!,metropop-resign,Almira Bastari,Gramedia Pustaka Utama,9786020380711,Indonesia,288,1,4.18,4,4480,,
Three Days Of Happiness,three-days-of-happiness,Miaki Sugaru,m&c!,9786230302176,Indonesia,256,1,4.39,4,2076,,drama,novel
Her Name Is,her-name-is,Cho Nam-Joo,Bhuana Ilmu Populer,9786230403477,Indonesia,214,1,3.71,4,256,,
Gadis Kretek (cover baru 2019),gadis-kretek-cover-baru-2019,Ratih Kumala,Gramedia Pustaka Utama,9789792281415,Indonesia,288,1,4.1,4,2548,571.0,novel
Ibu Tercinta (Please Look after Mom),ibu-tercinta-please-look-after-mom,Kyung Sook Shin,Gramedia Pustaka Utama,9786020315409,Indonesia,296,1,3.87,4,34897,,
The Selection: Series #1,selectionthe-series1,Kiera Cass,Mizan Media Utama,9786024301057,Indonesia,382,1,4.1,4,1318350,,fiksi_sastra
Orang-orang Biasa,orang-orang-biasa,Andrea Hirata,Bentang Pustaka,9786022915249,Indonesia,262,1,4.24,4,1897,437.0,novel
Claires,claires,Valerie Patkar,Bhuana Ilmu Populer,9786024553661,Indonesia,380,1,4.15,4,795,104.0,novel
Caraval #2: Legendary,caraval-2-legendary,Stephanie Garber,Noura Books Publishing,9786023855544,Indonesia,484,0,4.22,4,129539,16369.0,fiksi_ilmiah
Petualangan Sherlock Holmes (The Adventure of Sherlock Holmes),petualangan-sherlock-holmes-the-adventure-of-sherlock-holme,Sir Arthur Conan Doyle,Gramedia Pustaka Utama,9786020635514,Indonesia,344,1,4.3,4,277419,,novel,thriller
Home Sweet Loan,home-sweet-loan,Almira Bastari,Gramedia Pustaka Utama,9786020658049,Indonesia,312,0,4.35,4,769,268.0,
Rapijali,rapijali,Dee Lestari,Bentang Pustaka,9786022917724,Indonesia,368,1,4.09,4,1134,,
Laut Bercerita,laut-bercerita,Leila S. Chudori,Kepustakaan Populer Gramedia,9786024246945,Indonesia,400,0,4.63,5,10476,,
Keep Going: A Collection of Self Love Poems (Full Color),keep-going-a-collection-of-self-love-poems-full-color,Raissa Almira,Elex Media Komputindo,9786020489926,Indonesia,160,1,4.14,4,28,,novel
Amor Fati,amor-fati,Syahid Muhammad;Stefani Bella,Gradien Mediatama,9786022081616,Indonesia,438,1,4.0,4,345,,novel
Nebula,nebula-1,Tere Liye,Gramedia Pustaka Utama,9786020639536,Indonesia,376,1,4.38,4,1689,229.0,
Sometimes I Lie,sometimes-i-lie,Alice Feeney,NOURA BOOKS PUBLISHING,9786023856237,Indonesia,396,1,3.81,4,145997,,novel
Rara Mendut,rara-mendut,Y.B. Mangunwijaya,Gramedia Pustaka Utama,9786020634753,Indonesia,345,1,4.08,4,497,,sastra_indonesia
Kembalinya Sherlock Holmes (The Return of Sherlock Holmes),kembalinya-sherlock-holmes-the-return-of-sherlock-holmes-hard-cover,Sir Arthur Conan Doyle,Gramedia Pustaka Utama,9786020636221,Indonesia,400,1,4.29,4,60201,,novel,thriller
Surat Kematian (Death Notice) - Buku Kesatu,surat-kematian-death-notice-buku-kesatu,Zhou Haohui,Gramedia Pustaka Utama,9786020657240,Indonesia,344,1,3.82,4,1714,,
Serdadu Pantai,serdadu-pantai-1,Laode Insan,Gramedia Widiasarana Indonesia,9786020522050,Indonesia,428,1,3.8,4,41,,fiksi_ilmiah
Arkananta,arkananta,Shiningjaemz,Akad,9786239776046,Indonesia,244,1,4.2,4,64,,
Mind Platter,mind-platter,Najwa Zebian,Gramedia Widiasarana Indonesia,9786020516899,Indonesia,224,1,4.05,4,4226,,novel
The Trouble With Perfect,the-trouble-with-perfect,Helena Duggan;Helena Duggan,Bhuana Ilmu Populer,9786230406799,Indonesia,344,1,4.13,4,1562,,fiksi_ilmiah
5cm : Aku, Kamu, Samudera, dan Bintang Bintang,5cm-aku-kamu-samudera-dan-bintang-bintang,Donny Dhirgantoro,Gramedia Widiasarana Indonesia,9786020524665,Indonesia,512,1,3.78,4,104,31.0,romance
The Sentimental Reasons (Alasan Sentimental),the-sentimental-reasons-alasan-sentimental,Cecillia Wang,Bukune,9786022202707,Indonesia,215,1,3.97,4,156,,novel
Lukacita,lukacita,Valerie Patkar,Bhuana Ilmu Populer,9786230406935,Indonesia,448,1,4.46,4,462,,
Anak Bajang Menggiring Angin (COVER BARU) ISBN LAMA,conf-anak-bajang-menggiring-angin,Gabriel Possenti Sindhunata,Gramedia Pustaka Utama,9786020312521,Indonesia,470,0,4.26,4,1291,,fiksi_sastra
Six of Crows,six-of-crows,Leigh Bardugo,Kepustakaan Populer Gramedia,9786024810658,Indonesia,632,1,4.49,4,718737,,
Balada Burung Penyanyi dan Ular (The Ballad of Songbirds and Snakes),the-ballad-of-songbirds-and-snakes,Suzanne Collins,Gramedia Pustaka Utama,9786020650944,Indonesia,656,1,3.83,4,323782,,
Kisah Sebuah Nama Baru (The Story of a New Name),kisah-sebuah-nama-baru-the-story-of-a-new-name,Elena Ferrante,Gramedia Pustaka Utama,9786020659725,Indonesia,616,1,4.42,4,149201,,sastra_indonesia
A Court of Mist and Fury,a-court-of-mist-and-fury,Sarah J Maas,Bhuana Ilmu Populer,9786024555429,Indonesia,860,0,4.62,5,845891,,novel
Kisah Kota Kita: Sejuta Cerita Jelajah Kota ,kisah-kota-kita,Bip,Bhuana Ilmu Populer,9786022497035,Indonesia,-,0,4.13,4,38,,fiksi_sastra
Pangeran Bahagia,conf-pangeran-bahagia,Oscar Wilde,Serambi Ilmu Semesta,9789790243538,Indonesia,106,0,4.22,4,31029,,fiksi_sastra
I Love Cooking,conf-i-love-cooking,Sekar Maya,Mizan,9789797527327,Indonesia,128,0,3.08,3,12,,fiksi_sastra
Foolove,conf-foolove,Teera,Mizan,9786028851053,Indonesia,214,0,3.14,3,29,,fiksi_sastra
PADA SUATU HARI,conf-pada-suatu-hari,Alinafiah Lubis,Khazanah Bahari,9789791771054,Indonesia,215,0,3.0,3,2,,fiksi_sastra
Gurun Cinta,conf-gurun-cinta,Francois Mauriac,Serambi Ilmu Semesta,9789790242258,Indonesia,292,0,3.57,4,633,63.0,romance
Goran,conf-goran,Imelda A. Sanjaya,Serambi Ilmu Semesta,9789790240063,Indonesia,344,0,3.24,3,41,,fiksi_sastra
Holiday in Korea,conf-holiday-in-korea,Husna Salsabila,Mizan,9786029498776,Indonesia,122,0,4.12,4,8,,fiksi_sastra
Ghostly Girls,conf-ghostly-girls,Izzatul Fitriyah,Mizan,9786029498783,Indonesia,146,0,3.29,3,7,,fiksi_sastra
The Hollow Cat,conf-the-hollow-cat,Ayunda,Mizan,9789797529383,Indonesia,126,0,3.44,3,16,,fiksi_sastra
untung ada Yudhi,conf-untung-ada-yudhi,Yudhi Herwibowo,Mizan,9789792438567,Indonesia,194,0,3.67,4,12,4.0,fiksi_sastra
Stasiun,conf-stasiun,Cynthia Febrina,Mizan,9786029481365,Indonesia,184,0,3.2,3,123,,fiksi_sastra
THE TARIX JABRIX 2,conf-the-tarix-jabrix-2,Jamal,Mizan,9789792438598,Indonesia,196,0,3.8,4,5,,fiksi_sastra
Siwon Six,conf-siwon-six,Annis Dr Dkk;Annis Dr Dkk,Mizan,9786029481303,Indonesia,134,0,2.96,3,23,8.0,fiksi_sastra
